2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [INITIALIZED]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [STARTING_PREP]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [STARTING]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [STARTED]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [INITIALIZING]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [INITIALIZED]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [STARTING_PREP]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [STARTING]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [STARTED]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [INITIALIZING]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [INITIALIZED]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [STARTING_PREP]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [STARTING]
2018-03-04 10:46:40,288 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [STARTED]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [INITIALIZING]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [INITIALIZED]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [STARTING_PREP]
