2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5538878a] to [STARTING_PREP]
2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5538878a] to [STARTING]
2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5538878a] to [STARTED]
2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ea845b5] to [INITIALIZING]
2018-03-03 22:22:58,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ea845b5] to [INITIALIZED]
2018-03-03 22:22:58,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ea845b5] to [STARTING_PREP]
2018-03-03 22:22:58,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ea845b5] to [STARTING]
2018-03-03 22:22:58,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ea845b5] to [STARTED]
2018-03-03 22:22:58,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5b63380b] to [INITIALIZING]
2018-03-03 22:22:58,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5b63380b] to [INITIALIZED]
2018-03-03 22:22:58,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5b63380b] to [STARTING_PREP]
2018-03-03 22:22:58,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5b63380b] to [STARTING]
2018-03-03 22:22:58,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5b63380b] to [STARTED]
2018-03-03 22:22:58,094 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@303bd9ca] to [INITIALIZING]
2018-03-03 22:22:58,094 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@303bd9ca] to [INITIALIZED]
2018-03-03 22:22:58,094 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@303bd9ca] to [STARTING_PREP]
2018-03-03 22:22:58,094 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@303bd9ca] to [STARTING]
2018-03-03 22:22:58,094 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@303bd9ca] to [STARTED]
2018-03-03 22:22:58,094 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@f9dc9d6] to [INITIALIZING]
2018-03-03 22:22:58,094 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@f9dc9d6] to [INITIALIZED]
2018-03-03 22:22:58,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@f9dc9d6] to [STARTING_PREP]
2018-03-03 22:22:58,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@f9dc9d6] to [STARTING]
2018-03-03 22:22:58,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@f9dc9d6] to [STARTED]
2018-03-03 22:22:58,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2780b6b4] to [INITIALIZING]
2018-03-03 22:22:58,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2780b6b4] to [INITIALIZED]
2018-03-03 22:22:58,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2780b6b4] to [STARTING_PREP]
2018-03-03 22:22:58,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2780b6b4] to [STARTING]
2018-03-03 22:22:58,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2780b6b4] to [STARTED]
2018-03-03 22:22:58,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@89cbd90] to [INITIALIZING]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@89cbd90] to [INITIALIZED]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@89cbd90] to [STARTING_PREP]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@89cbd90] to [STARTING]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@89cbd90] to [STARTED]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@776ea458] to [INITIALIZING]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@776ea458] to [INITIALIZED]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@776ea458] to [STARTING_PREP]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@776ea458] to [STARTING]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@776ea458] to [STARTED]
2018-03-03 22:22:58,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@519cad52] to [INITIALIZING]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@519cad52] to [INITIALIZED]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@519cad52] to [STARTING_PREP]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@519cad52] to [STARTING]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@519cad52] to [STARTED]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2301aaa] to [INITIALIZING]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2301aaa] to [INITIALIZED]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2301aaa] to [STARTING_PREP]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2301aaa] to [STARTING]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2301aaa] to [STARTED]
2018-03-03 22:22:58,097 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44fcfbe5] to [INITIALIZING]
2018-03-03 22:22:58,098 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44fcfbe5] to [INITIALIZED]
2018-03-03 22:22:58,098 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44fcfbe5] to [STARTING_PREP]
2018-03-03 22:22:58,098 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44fcfbe5] to [STARTING]
2018-03-03 22:22:58,098 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44fcfbe5] to [STARTED]
2018-03-03 22:22:58,098 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7b06819c] to [INITIALIZING]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7b06819c] to [INITIALIZED]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7b06819c] to [STARTING_PREP]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7b06819c] to [STARTING]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7b06819c] to [STARTED]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@d71a8b8] to [INITIALIZING]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@d71a8b8] to [INITIALIZED]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@d71a8b8] to [STARTING_PREP]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@d71a8b8] to [STARTING]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@d71a8b8] to [STARTED]
2018-03-03 22:22:58,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4590b4c6] to [INITIALIZING]
2018-03-03 22:22:58,100 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4590b4c6] to [INITIALIZED]
2018-03-03 22:22:58,100 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4590b4c6] to [STARTING_PREP]
